id,edad,sexo,estado,Oxalis,Quercus,Cyp.bulb,Phaseolus,Insectos,Cyp.rizo,Commelina.dianthifolia,Euphorbia bilobata,time,covey,dist camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
2015-19,J,Male,AZ,0.0515,0.4251,0,0,0,0,0,0,1130,8,26.67,504,15.67500008,1546,31.444386,-110.543406,0,1.604739743,North American Warm Desert Wash
2016-169,NA,Male,AZ,0.0409,1.7618,0,0.0644,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.482373263,NA,NA
2016-230,NA,Male,AZ,0.0409,0,0,0,0,0,0.1481,0.0589,NA,NA,NA,NA,NA,NA,NA,NA,1.211547454,NA,NA
2016-121,A,Male,AZ,0.0223,0,0,0,0,0.2981,0,0,1245,NA,111.82,520,15.5375,1558,31.484718,-110.602862,0.902849974,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-158,J,Male,AZ,0.0221,0,0,0.3428,0,0,0,0.2272,1600,7,204.37,476,17.28750016,1206,31.366398,-110.99683,1.879824705,0.981917001,Madrean Encinal
2016-255,NA,NA,AZ,0.0209,1.6459,0,0.0579,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.391974474,NA,NA
2016-200,NA,Male,AZ,0,4.3821,0,0,0,0,0.2262,0,NA,NA,NA,NA,NA,NA,NA,NA,0.204625672,NA,NA
2016-174,NA,NA,AZ,0,3.9318,0,0.0095,0.0703,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.339572862,NA,NA
2016-195,NA,Male,AZ,0,3.6704,0,0.0206,0,0,0.0345,0,NA,NA,NA,NA,NA,NA,NA,NA,0.130355726,NA,NA
2016-214,NA,Male,AZ,0,3.6678,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00524834,NA,NA
2016-126,J,Female,AZ,0,3.6208,0,0.1127,0,0,0,0,1230,9,271.02,605,14.41666657,1777,31.41536,-110.734422,0.205581202,0.934580968,Madrean Pinyon-Juniper Woodland
2016-218,NA,Male,AZ,0,3.6155,0,0.0863,0.6609,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.705359057,NA,NA
2016-164,J,Male,AZ,0,3.5921,0,0.4864,0.0651,0,0,0.0077,1700,NA,278.67,551,15.78750026,1572,31.759081,-110.727349,0.727370884,0.942510655,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2015-50,J,Male,NM,0,3.5302,0,0,0.97,0,0,0,1545,1,204.52,508,11.68333335,2134,32.903387,-105.505935,0.598538439,1.347755207,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
2016-114,J,Male,AZ,0,3.3141,0,0,0.00001,0,0.26,0,1500,NA,85.38,525,15.37083332,1608,31.502858,-110.585248,0.269869151,1.363820133,Mogollon Chaparral
2014-78,J,Female,AZ,0,3.2198,0,0.2639,0.00009,0.3425,0,0.0474,NA,NA,NA,NA,NA,NA,NA,NA,0.605293372,NA,NA
2016-252,NA,NA,AZ,0,3.008,0,0,0.0186,0,0.0098,0,NA,NA,NA,NA,NA,NA,NA,NA,0.079774458,NA,NA
2016-215,NA,NA,AZ,0,2.8706,0,0.0151,0.015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.18351134,NA,NA
2016-125,J,Male,AZ,0,2.8196,0,0.2127,0.0016,1.8469,0.0085,0.0066,1600,NA,43.47,518,15.57916671,1542,31.480749,-110.607803,0.000143903,1.416778979,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-180,NA,Female,AZ,0,2.7436,0,0.0875,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.26371781,NA,NA
2016-189,NA,Male,AZ,0,2.5905,0,0,0.0359,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.09266725,NA,NA
