id,edad,sexo,estado,Tephoria,Caracoles,Physalis,Vitis.arizonica,Lupinus,Lotus.wrightii,Kallstroemia.parviflora,Fabacea,Ipomoea,Desmodium,Talinum.aurantiacum,SP17,Heterosperma.pinnatum,SP19,Desmanthus cooleyi,Celtis.reticulata,Panicum.hirticaule,Setaria,Malvacea,Cyperus.fendlerianus,SP26,Setaria,SP28,Cryptantha.cinerea,Sphaeralcea.fendleri,Hymenopappus.flavescens,Solaneaceae,Euphorbia,SP34,Piptochaetium.fimbriatum,Acalypha.neomexiacana,Fabaceae,Lupinus.neomexicanus,Mirabilis.longiflora,SP44,Prunus.virginiana,SP46,Urochloa,Cyperaceae,Pinus.edulis,Fabacea,SP51,SP52,Calliandra.humilis,Fabaceae,Solanum,Calliandra.eriophylla,Desmanthus.cooleyi,Sp59,Croton.pottsii,Lupinus,Polygonaceae,Euphorbia,Calliandra,Solanum,SPA1,SPA2,Lotus,Bidens.leptocephala,SPA5,SPA6,Tephrosia,Asteraceae.Uropappus lindleyi,SPA9,SPA10,Ziziphus.obtisufolia,Aristida,Diodia.teres,Bothriochloa,Pinus.dulis,Paspalum.distichum,SPA17,SPA18,SPA19,Euphorbia.exstipulata,SPA21,Asteracea,SPA23,SPA24,Chilopsis.linearis,Sorghum.halepense,Amaranthus,Setaria nigricans,SPA29,SPA30,SPA31,SPA32,SPA33,SPA34,SPA35,SPA36,SPA37,SPA38,SPA39,SPA40,Agave.or.Yucca,SPA42,SPA43,SPA44,Sida,SPA46,SPA47,Tragia,Lupinus,SPA50,SPA51,SPA52,SPA53,SPA54,SPA55,Amaranthus,Desmodium,Bothriochloa,Euphorbia,SPA60,SPA61,SPA62,Phaseolus,SPA64,SPA65,Arachnida,Juniperus prob. deppeana,time,covey,dist camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
2016-251,NA,NA,AZ,0.0352,0,0,0,0,0,0,0,0.0096,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.380497784,NA,NA
2016-168,NA,Male,AZ,0.0478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.21343054,NA,NA
2016-246,NA,Female,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409,0,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.519684894,NA,NA
2016-245,NA,NA,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.138036915,NA,NA
2016-145,A,Male,AZ,0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,10,23.14,505,17.11250008,1308,31.370265,-110.776138,1.181408006,1.621506354,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2016-135,J,male,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,10,67.3,546,15.7916667,1481,31.386863,-110.749311,0.334802593,1.665194282,Madrean Encinal
2015-19,J,Male,AZ,0,0,0,0.0362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,8,26.67,504,15.67500008,1546,31.444386,-110.543406,0,1.604739743,North American Warm Desert Wash
2016-169,NA,Male,AZ,0.0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.482373263,NA,NA
2016-230,NA,Male,AZ,0,0,0,0.1586,0,0,0,0,0,0,0,0.5257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.211547454,NA,NA
2016-121,A,Male,AZ,0,0,0,0.0866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,NA,111.82,520,15.5375,1558,31.484718,-110.602862,0.902849974,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
