,id,edad,sexo,estado,Oxalis,Quercus,Cyp.bulb,Phaseolus,Insectos,Cyp.rizo,Commelina.dianthifolia,Euphorbia bilobata,time,dist_camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
14,2016-143,J,Male,AZ,0.2064,0.0,0.0785,0.0,0.0,0.0,0.0,0.0,09:30,191.66,537,16.04583315,1408.0,31.387029,-110.758167,1.169064552,1.684404447,Madrean Encinal
15,2016-162,J,Male,AZ,0.202,0.0,0.0,1.4711,0.0158,0.0,0.0,0.0,13:00,248.39,595,14.42083335,1746.0,31.709155,-110.795686,0.894717749,1.014570747,Madrean Pinyon-Juniper Woodland
16,2016-151,A,Male,AZ,0.1821,0.3616,0.047,0.5079,0.0,0.0,0.0071,0.0042,13:00,293.82,620,14.30416672,1856.0,31.411848,-110.745665,1.238467695,1.077713295,Madrean Pinyon-Juniper Woodland
18,2016-152,J,Male,AZ,0.1617,0.0,0.5961,0.0,0.0234,0.0,0.0,0.0366,15:00,57.94,482,17.0,1226.0,31.380497,-111.072099,1.84107562,1.067677296,Madrean Encinal
24,2016-145,A,Male,AZ,0.0575,0.0,1.509,0.5469,0.0,0.8088,0.0,0.0,15:00,23.14,505,17.11250008,1308.0,31.370265,-110.776138,1.181408006,1.621506354,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
25,2016-135,J,Male,AZ,0.0569,0.0,0.0,0.0,0.0,0.6006,0.0,0.0,11:45,67.3,546,15.7916667,1481.0,31.386863,-110.749311,0.334802593,1.665194282,Madrean Encinal
26,2015-19,J,Male,AZ,0.0515,0.4251,0.0,0.0,0.0,0.0,0.0,0.0,11:30,26.67,504,15.67500008,1546.0,31.444386,-110.543406,0.0,1.604739743,North American Warm Desert Wash
29,2016-121,A,Male,AZ,0.0223,0.0,0.0,0.0,0.0,0.2981,0.0,0.0,12:45,111.82,520,15.5375,1558.0,31.484718,-110.602862,0.902849974,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
30,2016-158,J,Male,AZ,0.0221,0.0,0.0,0.3428,0.0,0.0,0.0,0.2272,16:00,204.37,476,17.28750016,1206.0,31.366398,-110.99683,1.879824705,0.981917001,Madrean Encinal
36,2016-126,J,Female,AZ,0.0,3.6208,0.0,0.1127,0.0,0.0,0.0,0.0,12:30,271.02,605,14.41666657,1777.0,31.41536,-110.734422,0.205581202,0.934580968,Madrean Pinyon-Juniper Woodland
38,2016-164,J,Male,AZ,0.0,3.5921,0.0,0.4864,0.0651,0.0,0.0,0.0077,17:00,278.67,551,15.78750026,1572.0,31.759081,-110.727349,0.727370884,0.942510655,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
39,2015-50,J,Male,NM,0.0,3.5302,0.0,0.0,0.97,0.0,0.0,0.0,15:45,204.52,508,11.68333335,2134.0,32.903387,-105.505935,0.598538439,1.347755207,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
40,2016-114,J,Male,AZ,0.0,3.3141,0.0,0.0,1e-05,0.0,0.26,0.0,15:00,85.38,525,15.37083332,1608.0,31.502858,-110.585248,0.269869151,1.363820133,Mogollon Chaparral
44,2016-125,J,Male,AZ,0.0,2.8196,0.0,0.2127,0.0016,1.8469,0.0085,0.0066,16:00,43.47,518,15.57916671,1542.0,31.480749,-110.607803,0.000143903,1.416778979,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
49,2016-112,J,Male,AZ,0.0,2.2135,0.0,0.0,0.0,1.5152,0.2668,0.0,15:00,85.38,525,15.37083332,1608.0,31.502858,-110.585248,0.875615956,1.363820133,Mogollon Chaparral
52,2015-52,J,Male,NM,0.0,2.0487,0.0,0.0,0.07,0.3488,0.0,0.0,15:20,25.21,373,12.72916666,1901.0,32.854051,-107.65178,0.782133757,0.868275775,Madrean Pinyon-Juniper Woodland
54,2016-113,J,Male,AZ,0.0,1.8674,0.0,0.0,0.0,0.0889,0.2135,0.0,15:00,85.38,525,15.37083332,1608.0,31.502858,-110.585248,0.48822596,1.363820133,Mogollon Chaparral
56,2015-55,J,Female,AZ,0.0,1.7465,0.0,0.0,0.0,0.0,0.0,0.0,13:05,161.8,559,15.68750011,1597.0,31.784134,-110.750951,0.250973455,0.859763122,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
62,2016-163,J,Male,AZ,0.0,1.4075,0.0,0.0,0.0686,0.2099,0.0,0.0063,16:00,222.73,551,15.78750026,1572.0,31.760484,-110.725406,0.805845825,0.961668314,Apacherian-Chihuahuan Mesquite Upland Scrub
63,2015-7,J,Male,NM,0.0,1.2879,0.0,0.0,0.25,0.0,0.0,0.0,15:45,55.79,291,12.1416666,1817.0,33.712117,-107.302924,0.966908596,0.730961818,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
65,2015-49,A,Male,NM,0.0,1.2612,0.0,0.0,0.32,0.0,0.0,0.0,13:15,189.52,508,11.68333335,2093.0,32.902179,-105.503672,1.187061924,1.348812969,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
68,2015-22,J,Male,AZ,0.0,1.2481,0.0,0.0,0.12,0.0356,0.0321,0.0,11:30,223.21,557,15.77916652,1591.0,31.791366,-110.748967,0.432456649,0.786193853,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
69,2016-124,A,Male,AZ,0.0,1.1597,0.0,0.4147,0.0,1.6483,0.0,0.0,16:00,43.47,518,15.57916671,1542.0,31.480749,-110.607803,1.201160324,1.416778979,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
70,2015-54,J,Male,AZ,0.0,1.1419,0.0,0.0,0.0,0.0,0.039,0.0,13:05,161.8,559,15.68750011,1597.0,31.784134,-110.750951,1.473759884,0.859763122,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
75,2015-8,J,Male,NM,0.0,0.9541,0.0,0.0,9e-05,0.0,0.0,0.0,15:45,55.79,291,12.1416666,1817.0,33.712117,-107.302924,0.79984246,0.730961818,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
77,2015-14,J,Male,AZ,0.0,0.9437,0.0,0.0,0.62,1.0349,0.0,0.0,10:30,49.79,506,15.71666638,1530.0,31.4416,-110.548871,0.202936384,1.526532568,Madrean Encinal
78,2016-153,A,Female,AZ,0.0,0.8828,0.0,0.0441,0.1226,0.0,0.0065,0.0,14:00,12.36,531,16.13333331,1504.0,31.747172,-110.701652,0.579030122,1.223744838,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
79,2016-122,A,Male,AZ,0.0,0.8823,0.0,0.7709,0.4965,1.1441,0.3259,0.0785,16:00,43.47,518,15.57916671,1542.0,31.480749,-110.607803,2.053078872,1.416778979,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
80,2015-9,J,Male,NM,0.0,0.8789,0.0,0.0,0.17,0.514,0.0,0.0,15:45,55.79,291,12.1416666,1817.0,33.712117,-107.302924,1.286208239,0.730961818,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
87,2015-23,J,Male,AZ,0.0,0.5136,0.0,0.0569,0.07,0.0,0.0485,0.0,11:30,223.21,557,15.77916652,1591.0,31.791366,-110.748967,0.505860619,0.786193853,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
90,2016-138,J,Female,AZ,0.0,0.3733,0.0,0.0,0.0,0.0519,0.0,0.0,16:00,42.51,545,15.07500002,1587.0,31.422294,-110.652616,0.76615608,1.122458915,Madrean Pinyon-Juniper Woodland
91,2016-123,A,Female,AZ,0.0,0.3204,0.0,0.1104,1.14981,0.0848,0.2718,0.0,16:00,7.49,518,15.57916671,1542.0,31.479651,-110.60579,1.92092746,1.46197745,Apacherian-Chihuahuan Mesquite Upland Scrub
93,2016-109,J,Male,AZ,0.0,0.3037,0.0,0.8553,0.0,0.4098,0.0,0.0251,10:00,108.04,528,15.47500012,1578.0,31.488971,-110.611033,1.195382845,1.391935879,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
94,2015-53,J,Female,NM,0.0,0.2898,0.0,0.0,0.17,0.1581,0.0,0.0,15:20,25.21,373,12.72916666,1901.0,32.854051,-107.65178,0.532054651,0.868275775,Madrean Pinyon-Juniper Woodland
95,2016-159,A,Female,AZ,0.0,0.2765,0.0,0.2518,0.0,0.0,0.0,0.2219,17:00,7.96,476,17.31250004,1207.0,31.368291,-110.994441,1.775771474,0.989926738,Madrean Encinal
103,2015-51,J,Male,NM,0.0,0.1264,0.0,0.0,0.34,1.3494,0.0,0.0,15:20,25.21,373,12.72916666,1901.0,32.854051,-107.65178,0.521212566,0.868275775,Madrean Pinyon-Juniper Woodland
104,2015-26,J,Male,NM,0.0,0.1262,0.0,0.0,0.0,0.0,0.0,0.0,13:15,142.51,455,12.89583324,1916.0,32.7417,-105.354701,0.691270969,1.256741075,Madrean Pinyon-Juniper Woodland
105,2015-17,J,Male,AZ,0.0,0.1133,0.0,0.0,0.0,0.0334,0.0,0.0,09:15,50.52,503,15.72083351,1510.0,31.450843,-110.557762,0.0,1.479697054,Apacherian-Chihuahuan Mesquite Upland Scrub
107,2016-111,A,Male,AZ,0.0,0.0775,0.0,0.0,0.0,0.2528,0.1318,0.0,10:00,108.04,528,15.47500012,1578.0,31.488971,-110.611033,1.278840247,1.391935879,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
108,2016-156,A,Male,AZ,0.0,0.0739,0.0,1.2447,0.0,0.0,0.0,0.0904,15:30,313.92,485,17.21666679,1239.0,31.369858,-111.000554,0.923424666,0.914529011,Madrean Encinal
110,2015-62,A,Male,NM,0.0,0.0718,0.0,5.0018,0.0,0.0,0.0,0.0,14:30,763.38,332,14.22499999,1560.0,32.592245,-107.930243,0.154973195,0.761438593,Madrean Pinyon-Juniper Woodland
111,2015-45,J,Male,NM,0.0,0.0666,0.089,0.0,9e-05,0.2523,0.0,0.0,12:05,113.61,416,14.35416671,1688.0,31.517713,-108.976493,0.615554029,1.062503693,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
114,2014-63,A,Male,AZ,0.0,0.0,0.0,0.0605,0.0,6.192,0.0,0.0,16:15,451.6,520,15.5375,1567.0,31.487968,-110.60384,0.103609901,1.437639721,Apacherian-Chihuahuan Mesquite Upland Scrub
115,2014-64,J,Male,AZ,0.0,0.0,0.0,1.2284,9e-05,4.4484,0.0,0.0057,16:15,451.6,520,15.5375,1567.0,31.487968,-110.60384,0.000223004,1.437639721,Apacherian-Chihuahuan Mesquite Upland Scrub
116,2014-74,,Female,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09:10,272.86,515,15.59583343,1559.0,31.479233,-110.594791,0.0,1.43420978,Apacherian-Chihuahuan Mesquite Upland Scrub
117,2014-75,J,Male,AZ,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,09:10,272.86,515,15.59583343,1559.0,31.479233,-110.594791,0.0,1.43420978,Apacherian-Chihuahuan Mesquite Upland Scrub
118,2014-76,J,Female,AZ,0.0,0.0,0.0231,0.0,0.0,0.0,0.0,0.0,09:10,272.86,515,15.59583343,1559.0,31.479233,-110.594791,0.0,1.43420978,Apacherian-Chihuahuan Mesquite Upland Scrub
119,2014-85,A,Female,AZ,0.0,0.0,0.0,0.3115,0.02,4.0589,0.0,0.02,16:15,451.6,520,15.5375,1567.0,31.487968,-110.60384,0.393457149,1.437639721,Apacherian-Chihuahuan Mesquite Upland Scrub
120,2014-86,A,Male,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09:10,272.86,515,15.59583343,1559.0,31.479233,-110.594791,0.0,1.43420978,Apacherian-Chihuahuan Mesquite Upland Scrub
121,2015-15,J,Male,AZ,0.0,0.0,0.0,0.0552,0.0,0.0153,0.0,0.0,10:45,97.65,506,15.71666638,1579.0,31.441023,-110.549115,1.076409266,1.514417963,Madrean Encinal
122,2015-16,J,Female,AZ,0.0,0.0,0.0,0.0,0.0,0.0347,0.0,0.0,09:15,50.52,503,15.72083351,1510.0,31.450843,-110.557762,0.523111954,1.479697054,Apacherian-Chihuahuan Mesquite Upland Scrub
123,2015-18,J,Female,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:00,101.64,504,15.67500008,1546.0,31.443211,-110.547695,0.536452365,1.578949213,North American Warm Desert Wash
124,2016-101,J,Male,AZ,0.0,0.0,0.0,0.0695,0.0,1.0359,0.038,0.0076,09:30,211.01,526,15.92083329,1578.0,31.351572,-110.489045,0.762395791,1.133977763,Madrean Encinal
125,2016-102,J,Male,AZ,0.0,0.0,0.0,0.0,0.0,0.1884,0.0,0.0,09:30,211.01,526,15.92083329,1578.0,31.351572,-110.489045,0.099129977,1.133977763,Madrean Encinal
126,2016-103,J,Male,AZ,0.0,0.0,0.0,2.9338,0.0,0.6889,0.0342,0.008,16:30,171.92,527,15.56250009,1616.0,31.391325,-110.464206,0.86535793,1.481311877,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
